Opt_Energy,T2
-1.803854461689021,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((0, 4), (3, 7)), ((1, 4), (2, 7)), ((1, 4), (3, 6)), ((1, 5), (3, 7)), ((4, 5), (6, 7)))"
-1.8796338729803672,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((0, 4), (3, 7)), ((1, 5), (2, 6)), ((1, 4), (3, 6)), ((1, 5), (3, 7)), ((4, 5), (6, 7)))"
-1.8429552298772767,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((0, 5), (3, 6)), ((1, 4), (2, 7)), ((1, 5), (2, 6)), ((1, 4), (3, 6)), ((1, 5), (3, 7)))"
-1.8247337324997401,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((0, 5), (3, 6)), ((1, 4), (2, 7)), ((1, 5), (2, 6)), ((1, 4), (3, 6)), ((4, 5), (6, 7)))"
-1.829827858173299,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((0, 5), (3, 6)), ((1, 4), (2, 7)), ((1, 5), (2, 6)), ((1, 5), (3, 7)), ((4, 5), (6, 7)))"
-1.819672085785506,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((0, 5), (3, 6)), ((1, 4), (2, 7)), ((1, 4), (3, 6)), ((1, 5), (3, 7)), ((4, 5), (6, 7)))"
-1.8351028865939,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((0, 5), (3, 6)), ((1, 5), (2, 6)), ((1, 4), (3, 6)), ((1, 5), (3, 7)), ((4, 5), (6, 7)))"
-1.8344655444851292,"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((1, 4), (2, 7)), ((1, 5), (2, 6)), ((1, 4), (3, 6)), ((1, 5), (3, 7)), ((4, 5), (6, 7)))"
-1.8405930651472433,"(((0, 4), (2, 6)), ((0, 4), (3, 7)), ((0, 5), (3, 6)), ((1, 4), (2, 7)), ((1, 5), (2, 6)), ((1, 4), (3, 6)), ((1, 5), (3, 7)))"
-1.8199068315248965,"(((0, 4), (2, 6)), ((0, 4), (3, 7)), ((0, 5), (3, 6)), ((1, 4), (2, 7)), ((1, 5), (2, 6)), ((1, 4), (3, 6)), ((4, 5), (6, 7)))"
-1.8360003623103949,"(((0, 4), (2, 6)), ((0, 4), (3, 7)), ((0, 5), (3, 6)), ((1, 4), (2, 7)), ((1, 5), (2, 6)), ((1, 5), (3, 7)), ((4, 5), (6, 7)))"
-1.8227630531587415,"(((0, 4), (2, 6)), ((0, 4), (3, 7)), ((0, 5), (3, 6)), ((1, 4), (2, 7)), ((1, 4), (3, 6)), ((1, 5), (3, 7)), ((4, 5), (6, 7)))"
-1.7917278450453549,"(((0, 4), (2, 6)), ((0, 4), (3, 7)), ((0, 5), (3, 6)), ((1, 5), (2, 6)), ((1, 4), (3, 6)), ((1, 5), (3, 7)), ((4, 5), (6, 7)))"
-1.790972093712213,"(((0, 4), (2, 6)), ((0, 4), (3, 7)), ((1, 4), (2, 7)), ((1, 5), (2, 6)), ((1, 4), (3, 6)), ((1, 5), (3, 7)), ((4, 5), (6, 7)))"
-1.8277382884079594,"(((0, 4), (2, 6)), ((0, 5), (3, 6)), ((1, 4), (2, 7)), ((1, 5), (2, 6)), ((1, 4), (3, 6)), ((1, 5), (3, 7)), ((4, 5), (6, 7)))"
