Operator,Noisy_val_approx,Ideal_val,Seq_REM,diff,diff_rem,singles ,doubles,singles_ratio,doubles_ratio,two_qc_ratio,single_qc_ratio,param_ratio,cnot_con
"(((0, 5), (3, 8)), ((0, 5), (4, 9)), ((6, 0), (9, 0)))",-24.4491918,-24.76508659,-24.76092662,0.099789515,0.097178599,1,2,0.25,0.166666667,0.278145695,0.721854305,0.1875,"[(1, 2), (11, 12), (11, 3), (11, 3), (11, 3), (11, 10), (11, 12), (11, 10), (11, 3), (11, 10), (11, 12), (11, 10), (11, 3), (11, 10), (11, 12), (11, 12), (11, 10), (12, 2), (12, 2), (12, 2), (1, 2), (1, 2), (1, 2), (1, 2), (12, 2), (2, 3), (12, 2), (1, 2), (12, 2), (2, 3), (12, 2), (1, 2), (1, 2), (12, 2), (2, 3), (2, 3), (2, 3), (1, 2), (4, 3), (4, 3), (4, 3), (4, 3)]"
"(((0, 5), (3, 8)), ((0, 0), (4, 0)), ((5, 0), (9, 0)))",-24.628326,-24.75640413,-24.75567187,0.016404006,0.016216969,2,1,0.5,0.083333333,0.252252252,0.747747748,0.1875,"[(4, 10), (4, 3), (4, 3), (4, 3), (11, 12), (11, 3), (11, 12), (11, 10), (11, 12), (11, 3), (11, 12), (11, 10), (11, 12), (11, 3), (11, 3), (4, 3), (4, 3), (4, 3), (4, 10), (5, 4), (5, 4), (5, 4), (5, 4), (9, 10), (9, 10), (9, 10), (9, 10), (11, 12)]"
"(((0, 5), (3, 8)), ((0, 0), (4, 0)), ((1, 0), (4, 0)))",-24.7564019,-24.7564019,-24.75560611,0,6.33277E-07,2,1,0.5,0.083333333,0.252252252,0.747747748,0.1875,"[(5, 4), (4, 3), (4, 3), (4, 3), (4, 10), (4, 3), (4, 10), (5, 4), (4, 10), (4, 3), (4, 10), (5, 4), (4, 10), (4, 3), (4, 3), (4, 10), (4, 3), (4, 3), (4, 3), (5, 4), (5, 9), (5, 9), (5, 9), (5, 9), (9, 8), (9, 8), (9, 8), (9, 8)]"
"(((0, 5), (3, 8)), ((0, 0), (4, 0)), ((6, 0), (9, 0)))",-24.75640157,-24.75640157,-24.75560578,0,6.33282E-07,2,1,0.5,0.083333333,0.254545455,0.745454545,0.1875,"[(1, 2), (1, 2), (1, 2), (1, 2), (5, 4), (4, 3), (4, 3), (4, 3), (4, 10), (4, 3), (4, 10), (5, 4), (4, 10), (4, 3), (4, 10), (5, 4), (4, 10), (4, 3), (4, 3), (4, 10), (4, 3), (4, 3), (4, 3), (5, 4), (5, 9), (5, 9), (5, 9), (5, 9)]"
"(((0, 5), (3, 8)), ((5, 0), (9, 0)), ((1, 0), (4, 0)))",-24.62836716,-24.75640156,-24.7557165,0.016392808,0.016217855,2,1,0.5,0.083333333,0.282828283,0.717171717,0.1875,"[(5, 6), (5, 6), (5, 6), (5, 6), (9, 10), (11, 10), (11, 10), (11, 10), (4, 10), (11, 10), (4, 10), (9, 10), (4, 10), (11, 10), (4, 10), (9, 10), (4, 10), (11, 10), (11, 10), (4, 10), (9, 10), (9, 10), (9, 10), (11, 10), (11, 12), (11, 12), (11, 12), (11, 12)]"
"(((0, 5), (3, 8)), ((5, 0), (9, 0)), ((6, 0), (9, 0)))",-24.62832022,-24.75640189,-24.75566957,0.016404915,0.016217858,2,1,0.5,0.083333333,0.252252252,0.747747748,0.1875,"[(11, 10), (12, 2), (2, 3), (2, 3), (2, 3), (11, 3), (11, 10), (11, 12), (11, 10), (11, 3), (11, 10), (11, 12), (11, 10), (11, 3), (11, 3), (11, 10), (12, 2), (12, 2), (12, 2), (2, 3), (4, 3), (4, 3), (4, 3), (4, 3), (5, 4), (5, 4), (5, 4), (5, 4)]"
"(((0, 5), (3, 8)), ((1, 0), (4, 0)), ((6, 0), (9, 0)))",-24.75639715,-24.75639715,-24.75560137,0,6.33268E-07,2,1,0.5,0.083333333,0.243478261,0.756521739,0.1875,"[(5, 4), (5, 4), (5, 4), (5, 4), (7, 8), (7, 8), (7, 8), (7, 8), (11, 10), (12, 2), (2, 3), (2, 3), (2, 3), (11, 3), (11, 10), (11, 12), (11, 10), (11, 3), (11, 10), (11, 12), (11, 10), (11, 3), (11, 3), (2, 3), (2, 3), (2, 3), (11, 10), (12, 2)]"
"(((0, 6), (4, 9)), ((1, 6), (3, 8)), ((0, 6), (3, 8)))",-24.55407096,-24.77185539,-24.7685861,0.04743006,0.046016748,0,3,0,0.25,0.277056277,0.722943723,0.1875,"[(4, 3), (5, 4), (5, 4), (5, 4), (9, 8), (4, 10), (5, 4), (4, 10), (4, 3), (4, 10), (5, 4), (4, 10), (4, 3), (4, 10), (5, 4), (5, 4), (4, 10), (4, 3), (4, 3), (4, 3), (5, 4), (5, 6), (5, 9), (5, 6), (5, 6), (5, 6), (9, 8), (5, 9), (5, 6), (5, 6), (5, 6), (9, 8), (5, 9), (9, 8), (9, 8), (9, 8), (9, 8), (6, 8), (9, 8), (9, 8), (9, 8), (9, 8), (5, 9), (5, 9), (5, 6), (5, 4), (5, 9), (9, 8), (4, 10), (4, 10), (4, 10), (9, 10), (9, 8), (5, 9), (9, 8), (9, 10), (9, 8), (5, 9), (5, 9), (5, 4), (5, 4), (5, 4), (9, 8), (4, 10)]"
"(((0, 6), (4, 9)), ((1, 6), (3, 8)), ((1, 5), (4, 9)))",-24.41303404,-24.77031471,-24.77275915,0.127649479,0.129402157,0,3,0,0.25,0.288793103,0.711206897,0.1875,"[(5, 4), (13, 12), (11, 12), (11, 12), (11, 12), (12, 2), (11, 12), (12, 2), (13, 12), (12, 2), (11, 12), (12, 2), (13, 12), (12, 2), (11, 12), (11, 12), (13, 12), (13, 12), (13, 12), (11, 12), (11, 3), (11, 10), (11, 10), (11, 10), (4, 10), (5, 4), (4, 3), (5, 4), (4, 10), (5, 4), (4, 3), (5, 4), (4, 10), (4, 10), (5, 4), (4, 10), (4, 10), (4, 10), (4, 3), (11, 3), (13, 12), (13, 12), (13, 12), (11, 12), (11, 3), (11, 3), (11, 3), (12, 2), (11, 12), (11, 3), (11, 3), (11, 3), (12, 2), (11, 12), (11, 3), (11, 3), (11, 3), (12, 2), (11, 12), (11, 3), (11, 3), (11, 3), (12, 2), (11, 12), (11, 12), (11, 3), (12, 2)]"
"(((0, 6), (4, 9)), ((1, 6), (3, 8)), ((0, 5), (4, 9)))",-24.32562406,-24.77735073,-24.77555261,0.204056983,0.202435697,0,3,0,0.25,0.306603774,0.693396226,0.1875,"[(5, 4), (5, 9), (5, 9), (5, 9), (11, 10), (4, 10), (11, 10), (9, 10), (11, 10), (4, 10), (11, 10), (9, 10), (5, 9), (5, 9), (5, 9), (11, 10), (4, 10), (4, 10), (5, 4), (4, 3), (4, 3), (5, 9), (9, 10), (11, 10), (12, 2), (2, 3), (4, 3), (4, 3), (4, 3), (12, 2), (2, 3), (4, 3), (4, 3), (4, 3), (12, 2), (2, 3), (4, 3), (4, 3), (4, 3), (12, 2), (2, 3), (4, 3), (4, 3), (4, 3), (12, 2), (2, 3), (2, 3), (4, 3), (5, 4), (5, 4), (5, 4), (4, 10), (11, 10), (9, 10), (11, 10), (4, 10), (11, 10), (9, 10), (9, 10), (11, 10), (4, 10), (4, 10), (4, 10), (9, 10), (12, 2)]"
