Operator,Noisy_val_approx,Ideal_val,two_qc_ratio,single_qc_ratio,param_ratio,cnot_con
"(((0, 4), (2, 6)), ((0, 5), (3, 6)))",-2.1115015503453485,-2.1115015503453485,0.2789115646258503,0.7210884353741497,0.125,"[(5, 4), (12, 5), (12, 5), (12, 5), (6, 5), (5, 4), (6, 5), (12, 5), (6, 5), (5, 4), (6, 5), (12, 5), (6, 5), (5, 4), (5, 4), (6, 5), (12, 5), (12, 5), (12, 5), (5, 4), (5, 4), (12, 11), (13, 4), (5, 4), (5, 4), (5, 4), (12, 13), (12, 11), (12, 5), (12, 11), (12, 13), (12, 11), (12, 5), (5, 4), (5, 4), (5, 4), (12, 11), (12, 13), (12, 13), (12, 11), (13, 4)]"
"(((0, 4), (2, 6)), ((0, 0), (2, 0)))",-2.108553474082239,-2.108553474082239,0.27586206896551724,0.7241379310344828,0.125,"[(5, 4), (12, 5), (12, 5), (12, 5), (6, 5), (12, 5), (6, 5), (5, 4), (6, 5), (12, 5), (6, 5), (5, 4), (6, 5), (12, 5), (12, 5), (6, 5), (5, 4), (5, 4), (5, 4), (12, 5), (6, 5), (6, 5), (6, 5), (6, 5)]"
"(((0, 4), (2, 6)), ((1, 0), (3, 0)))",-2.1084721324011113,-2.1084721324011113,0.25,0.75,0.125,"[(8, 7), (8, 7), (8, 7), (8, 7), (12, 11), (13, 4), (5, 4), (5, 4), (5, 4), (12, 5), (12, 11), (12, 13), (12, 11), (12, 5), (12, 11), (12, 13), (12, 11), (12, 5), (12, 5), (5, 4), (5, 4), (5, 4), (12, 11), (13, 4)]"
"(((0, 4), (2, 6)), ((4, 0), (6, 0)))",-2.108553474855844,-2.108553474855844,0.25263157894736843,0.7473684210526316,0.125,"[(12, 11), (13, 4), (5, 4), (5, 4), (5, 4), (12, 5), (12, 11), (12, 13), (12, 11), (12, 5), (12, 11), (12, 13), (12, 11), (12, 5), (12, 5), (12, 11), (12, 5), (12, 5), (12, 5), (12, 13), (12, 5), (12, 5), (12, 5), (12, 5)]"
"(((0, 4), (2, 6)), ((5, 0), (7, 0)))",-2.108472124917413,-2.108472124917413,0.25,0.75,0.125,"[(12, 11), (13, 4), (5, 4), (5, 4), (5, 4), (12, 5), (12, 11), (12, 13), (12, 11), (12, 5), (12, 11), (12, 13), (12, 11), (12, 5), (12, 5), (5, 4), (5, 4), (5, 4), (12, 11), (13, 4), (15, 14), (15, 14), (15, 14), (15, 14)]"
"(((1, 4), (3, 6)), ((0, 5), (2, 7)))",-2.112797932696668,-2.112797932696668,0.2684563758389262,0.7315436241610739,0.125,"[(6, 5), (6, 7), (6, 7), (6, 7), (6, 11), (6, 7), (6, 11), (6, 5), (6, 11), (6, 7), (6, 11), (6, 5), (6, 11), (6, 7), (6, 7), (6, 11), (6, 7), (6, 7), (6, 7), (6, 5), (3, 14), (2, 3), (2, 3), (2, 3), (3, 4), (3, 14), (3, 4), (2, 3), (3, 4), (3, 14), (3, 4), (2, 3), (3, 4), (3, 14), (3, 14), (3, 4), (2, 3), (2, 3), (2, 3), (3, 14)]"
"(((1, 4), (3, 6)), ((1, 5), (3, 7)))",-2.1121235923328703,-2.1121235923328703,0.2631578947368421,0.7368421052631579,0.125,"[(13, 14), (12, 13), (12, 13), (12, 13), (13, 4), (13, 14), (13, 4), (12, 13), (13, 4), (13, 14), (13, 4), (12, 13), (13, 4), (13, 14), (13, 14), (13, 4), (5, 4), (13, 14), (13, 14), (13, 14), (12, 13), (12, 11), (6, 11), (6, 11), (6, 11), (6, 5), (5, 4), (12, 5), (5, 4), (6, 5), (5, 4), (12, 5), (5, 4), (6, 5), (6, 5), (5, 4), (6, 5), (6, 5), (6, 5), (12, 5)]"
"(((1, 4), (3, 6)), ((0, 4), (3, 7)))",-2.1113051155792357,-2.1113051155792357,0.2962962962962963,0.7037037037037037,0.125,"[(5, 4), (6, 5), (6, 5), (6, 5), (12, 5), (6, 5), (12, 5), (5, 4), (12, 5), (6, 5), (12, 5), (5, 4), (12, 5), (6, 5), (6, 5), (12, 5), (5, 4), (5, 4), (5, 4), (6, 5), (6, 7), (7, 10), (7, 10), (7, 10), (12, 11), (6, 11), (12, 11), (11, 10), (12, 11), (6, 11), (12, 11), (11, 10), (12, 11), (6, 11), (6, 11), (12, 11), (11, 10), (11, 10), (11, 10), (6, 11)]"
"(((1, 4), (3, 6)), ((1, 4), (2, 7)))",-2.1071687382979087,-2.1071687382979087,0.27350427350427353,0.7264957264957265,0.125,"[(3, 4), (12, 5), (12, 13), (12, 13), (12, 13), (12, 11), (12, 13), (12, 11), (12, 5), (12, 11), (12, 13), (12, 11), (12, 5), (12, 11), (12, 13), (12, 13), (12, 11), (13, 4), (3, 4), (5, 4), (3, 4), (13, 4), (3, 4), (5, 4), (3, 4), (13, 4), (13, 4), (3, 4), (12, 13), (12, 13), (12, 13), (12, 5)]"
"(((1, 4), (3, 6)), ((4, 5), (6, 7)))",-2.1070540929485757,-2.1070540929485757,0.25806451612903225,0.7419354838709677,0.125,"[(12, 5), (12, 11), (12, 11), (12, 11), (12, 13), (12, 5), (12, 13), (12, 11), (12, 13), (12, 5), (12, 13), (12, 11), (12, 13), (12, 5), (12, 5), (12, 13), (12, 11), (12, 11), (12, 11), (12, 5), (6, 5), (6, 7), (6, 7), (6, 7), (6, 11), (6, 7), (6, 11), (6, 5), (6, 11), (6, 7), (6, 11), (6, 5), (6, 11), (6, 7), (6, 7), (6, 11), (6, 7), (6, 7), (6, 7), (6, 5)]"
"(((1, 4), (3, 6)), ((0, 1), (2, 3)))",-2.107041815403158,-2.107041815403158,0.2945205479452055,0.7054794520547946,0.125,"[(3, 4), (5, 4), (5, 4), (5, 4), (13, 4), (3, 4), (13, 4), (5, 4), (13, 4), (3, 4), (13, 4), (5, 4), (13, 4), (3, 4), (3, 4), (13, 4), (5, 4), (5, 4), (5, 4), (3, 4), (12, 5), (12, 5), (12, 5), (5, 4), (12, 5), (12, 5), (12, 5), (13, 14), (13, 4), (13, 14), (12, 13), (13, 14), (13, 4), (13, 14), (12, 13), (13, 14), (13, 4), (13, 4), (13, 14), (12, 13), (12, 13), (12, 13), (13, 4)]"
"(((1, 4), (3, 6)), ((1, 5), (2, 6)))",-2.1337520956750735,-2.1337520956750735,0.29850746268656714,0.7014925373134329,0.125,"[(6, 7), (9, 10), (6, 11), (6, 11), (6, 11), (11, 10), (9, 10), (7, 10), (9, 10), (11, 10), (9, 10), (7, 10), (9, 10), (11, 10), (11, 10), (9, 10), (11, 10), (11, 10), (11, 10), (7, 10), (6, 7), (7, 10), (7, 10), (7, 10), (12, 11), (6, 11), (12, 11), (11, 10), (12, 11), (6, 11), (12, 11), (11, 10), (12, 11), (6, 11), (6, 11), (12, 11), (11, 10), (11, 10), (11, 10), (6, 11)]"
"(((1, 4), (3, 6)), ((1, 5), (3, 6)))",-2.1059531600031383,-2.1059531600031383,0.30158730158730157,0.6984126984126984,0.125,"[(6, 5), (12, 13), (13, 4), (13, 4), (13, 4), (5, 4), (6, 5), (12, 5), (6, 5), (5, 4), (6, 5), (12, 5), (6, 5), (5, 4), (5, 4), (12, 13), (12, 13), (12, 13), (13, 4), (12, 13), (12, 5), (6, 5), (13, 4), (13, 4), (13, 4), (5, 4), (6, 5), (12, 5), (6, 5), (5, 4), (6, 5), (12, 5), (12, 5), (6, 5), (12, 13), (12, 13), (12, 13), (13, 4)]"
"(((1, 4), (3, 6)), ((0, 5), (2, 6)))",-2.1059531654909636,-2.1059531654909636,0.27972027972027974,0.7202797202797203,0.125,"[(12, 11), (13, 14), (3, 14), (3, 14), (3, 14), (15, 14), (13, 14), (15, 14), (3, 14), (15, 14), (13, 14), (15, 14), (3, 14), (15, 14), (13, 14), (13, 14), (15, 14), (13, 14), (13, 14), (13, 14), (12, 13), (12, 13), (12, 13), (12, 5), (12, 13), (12, 5), (12, 11), (12, 5), (12, 13), (12, 5), (12, 11), (12, 5), (12, 13), (12, 13), (12, 5), (12, 13), (12, 13), (12, 13), (12, 11), (3, 14)]"
"(((1, 4), (3, 6)), ((0, 5), (3, 6)))",-2.1071884075560465,-2.1071884075560465,0.25757575757575757,0.7424242424242424,0.125,"[(8, 7), (11, 10), (12, 5), (6, 5), (6, 5), (6, 5), (6, 11), (11, 10), (12, 11), (11, 10), (6, 11), (11, 10), (12, 11), (11, 10), (6, 11), (6, 7), (6, 7), (6, 7), (8, 7), (7, 10), (6, 7), (7, 10), (8, 7), (7, 10), (6, 7), (7, 10), (8, 7), (8, 7), (7, 10), (8, 7), (8, 7), (8, 7), (6, 7), (12, 11)]"
"(((1, 4), (3, 6)), ((0, 0), (2, 0)))",-2.1059536568736847,-2.1059536568736847,0.2553191489361702,0.7446808510638298,0.125,"[(6, 7), (12, 5), (12, 11), (12, 11), (12, 11), (6, 11), (6, 7), (6, 5), (6, 7), (6, 11), (6, 7), (6, 5), (6, 7), (6, 11), (6, 11), (6, 7), (12, 11), (12, 11), (12, 11), (12, 5), (15, 14), (15, 14), (15, 14), (15, 14)]"
