Operator,Noisy_val_approx,Ideal_val,difference,REM_seq,2q_gate,1q_gate,2q_gate_tr,1q_gate_tr,cx_gate,cx0_gate,no_T2,total_cnt,sum_cx,sum_cx0,sum_t2,sum_2q_tr,sum_1q_tr
"(((0, 4), (3, 7)), ((1, 5), (2, 6)))",-1.779804131,-2.127517893,0.12090486,-2.120813372,28,20,28,28,16,12,2,48,0.333333333,0.25,0.2,0.5,0.5
"(((0, 4), (3, 7)), ((0, 5), (3, 6)))",-1.666356356,-2.105766086,0.19308091,-2.105948434,28,20,28,28,16,12,2,48,0.333333333,0.25,0.2,0.5,0.5
"(((1, 4), (2, 7)), ((4, 5), (6, 7)))",-2.035326591,-2.103008605,0.004580855,-2.102227832,28,20,28,28,16,12,2,48,0.333333333,0.25,0.2,0.5,0.5
"(((1, 4), (2, 7)), ((0, 1), (2, 3)))",-1.927481948,-2.102887519,0.030767114,-2.101910675,28,20,28,28,16,12,2,48,0.333333333,0.25,0.2,0.5,0.5
"(((1, 4), (2, 7)), ((1, 5), (2, 6)))",-1.777723994,-2.126419167,0.121588324,-2.119322251,28,20,28,28,16,12,2,48,0.333333333,0.25,0.2,0.5,0.5
"(((1, 4), (2, 7)), ((0, 5), (3, 6)))",-1.663583864,-2.103019141,0.193103363,-2.103793917,28,20,28,28,16,12,2,48,0.333333333,0.25,0.2,0.5,0.5
"(((4, 5), (6, 7)), ((0, 1), (2, 3)))",-1.864593538,-2.102238251,0.05647501,-2.101086252,28,20,28,28,16,12,2,48,0.333333333,0.25,0.2,0.5,0.5
"(((4, 5), (6, 7)), ((1, 5), (2, 6)))",-1.722296606,-2.125300005,0.162411739,-2.116842202,28,20,28,28,16,12,2,48,0.333333333,0.25,0.2,0.5,0.5
"(((4, 5), (6, 7)), ((0, 5), (3, 6)))",-1.611138891,-2.102887503,0.241816697,-2.101297646,28,20,28,28,16,12,2,48,0.333333333,0.25,0.2,0.5,0.5
"(((0, 1), (2, 3)), ((1, 5), (2, 6)))",-1.658057206,-2.1253,0.218315829,-2.114400255,28,20,28,28,16,12,2,48,0.333333333,0.25,0.2,0.5,0.5
"(((0, 1), (2, 3)), ((0, 5), (3, 6)))",-1.579211027,-2.103008604,0.274363901,-2.100804154,28,20,28,28,16,12,2,48,0.333333333,0.25,0.2,0.5,0.5
"(((1, 5), (2, 6)), ((0, 5), (3, 6)))",-1.484059672,-2.126419157,0.412625708,-2.119446568,28,20,28,28,16,12,2,48,0.333333333,0.25,0.2,0.5,0.5
"(((0, 4), (2, 6)), ((1, 4), (3, 6)), ((0, 5), (2, 7)))",-2.123353273,-2.123353273,0,-2.122847229,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((0, 4), (2, 6)), ((1, 4), (3, 6)), ((1, 5), (3, 7)))",-2.122120116,-2.122120116,0,-2.121610102,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((0, 4), (2, 6)), ((1, 4), (3, 6)), ((0, 4), (3, 7)))",-2.119889952,-2.119889952,0,-2.119373439,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((0, 4), (2, 6)), ((1, 4), (3, 6)), ((1, 4), (2, 7)))",-2.117939688,-2.117939688,0,-2.117419937,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((0, 4), (2, 6)), ((1, 4), (3, 6)), ((4, 5), (6, 7)))",-2.046369127,-2.116492216,0.004917248,-2.116005119,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((0, 4), (2, 6)), ((1, 4), (3, 6)), ((0, 1), (2, 3)))",-1.937513342,-2.116482496,0.032029958,-2.118138945,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((0, 4), (2, 6)), ((1, 4), (3, 6)), ((1, 5), (2, 6)))",-1.78596989,-2.139045392,0.12466231,-2.134220702,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((0, 4), (2, 6)), ((1, 4), (3, 6)), ((0, 5), (3, 6)))",-1.67504234,-2.11796602,0.196181386,-2.117435934,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((1, 5), (3, 7)))",-2.122120125,-2.122120125,0,-2.121610104,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((0, 4), (3, 7)))",-2.119889971,-2.119889971,0,-2.119373435,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((1, 4), (2, 7)))",-2.11796602,-2.11796602,0,-2.117446355,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((4, 5), (6, 7)))",-2.046825368,-2.116482503,0.004852116,-2.115983995,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((0, 1), (2, 3)))",-1.938203754,-2.116492216,0.031786776,-2.119116596,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((1, 5), (2, 6)))",-1.785994856,-2.139045384,0.124644676,-2.131674204,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((0, 4), (2, 6)), ((0, 5), (2, 7)), ((0, 5), (3, 6)))",-1.675419694,-2.117939698,0.195823954,-2.117639071,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((0, 4), (2, 6)), ((1, 5), (3, 7)), ((0, 4), (3, 7)))",-2.116850729,-2.116850729,0,-2.116322755,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
