Operator,Noisy_val_approx,Ideal_val,diff,diff_rem,Seq_REM,two_qc_ratio,single_qc_ratio,param_ratio,cnot_con
"(((1, 4), (3, 6)), ((4, 0), (6, 0)))",-1.48864225,-1.48864225,0,1.02424E-06,-1.487630201,0.255319149,0.744680851,0.142857143,"[(5, 4), (4, 3), (4, 3), (4, 3), (4, 10), (4, 3), (4, 10), (5, 4), (4, 10), (4, 3), (4, 10), (5, 4), (4, 10), (4, 3), (4, 3), (4, 10), (4, 3), (4, 3), (4, 3), (5, 4), (4, 3), (4, 3), (4, 3), (4, 3)]"
"(((1, 4), (3, 6)), ((5, 0), (7, 0)))",-1.489125207,-1.489125207,0,1.02426E-06,-1.488113149,0.263736264,0.736263736,0.142857143,"[(1, 0), (11, 10), (11, 10), (11, 10), (11, 10), (13, 12), (12, 2), (12, 2), (12, 2), (13, 1), (1, 0), (1, 2), (1, 0), (13, 1), (1, 0), (1, 2), (1, 0), (12, 2), (12, 2), (12, 2), (13, 1), (13, 1), (1, 0), (13, 12)]"
"(((0, 5), (2, 7)), ((1, 5), (3, 7)))",-1.542811836,-1.542811836,0,1.02425E-06,-1.541799782,0.275641026,0.724358974,0.142857143,"[(11, 12), (12, 2), (12, 2), (12, 2), (13, 12), (11, 12), (13, 12), (12, 2), (13, 12), (11, 12), (13, 12), (12, 2), (13, 12), (11, 12), (11, 12), (13, 12), (11, 12), (11, 12), (11, 12), (11, 3), (12, 2), (11, 12), (11, 12), (11, 12), (11, 10), (11, 12), (11, 12), (11, 12), (11, 12), (11, 3), (11, 10), (11, 3), (11, 12), (11, 3), (11, 10), (11, 3), (11, 12), (11, 12), (11, 3), (11, 12), (11, 12), (11, 12), (11, 10)]"
"(((0, 5), (2, 7)), ((0, 4), (2, 6)))",-1.542085036,-1.542085036,0,1.02427E-06,-1.541072975,0.273809524,0.726190476,0.142857143,"[(4, 3), (5, 4), (5, 4), (5, 4), (9, 8), (9, 8), (9, 8), (4, 10), (4, 3), (4, 10), (5, 4), (4, 10), (4, 3), (4, 10), (5, 4), (4, 10), (4, 3), (4, 3), (4, 10), (4, 3), (4, 3), (4, 3), (5, 4), (5, 6), (5, 6), (5, 6), (6, 8), (5, 6), (5, 6), (5, 6), (9, 10), (9, 8), (9, 10), (5, 9), (9, 10), (9, 8), (9, 10), (5, 9), (5, 6), (5, 6), (5, 6), (9, 10), (9, 8), (9, 8), (6, 8), (9, 10)]"
"(((0, 5), (2, 7)), ((1, 4), (2, 7)))",-1.493295569,-1.493295569,0,1.02426E-06,-1.492283514,0.269503546,0.730496454,0.142857143,"[(5, 6), (7, 8), (4, 10), (5, 4), (5, 6), (9, 10), (9, 10), (9, 10), (5, 9), (5, 6), (5, 4), (5, 6), (5, 9), (5, 6), (5, 4), (5, 4), (5, 9), (5, 9), (5, 9), (5, 4), (9, 8), (9, 8), (9, 8), (7, 8), (6, 8), (9, 8), (6, 8), (7, 8), (6, 8), (9, 8), (6, 8), (7, 8), (7, 8), (6, 8), (7, 8), (7, 8), (7, 8), (9, 8)]"
"(((0, 5), (2, 7)), ((0, 4), (3, 7)))",-1.590048428,-1.590048428,0,1.02426E-06,-1.589036371,0.294117647,0.705882353,0.142857143,"[(11, 3), (4, 3), (4, 3), (4, 3), (2, 3), (4, 3), (2, 3), (11, 3), (2, 3), (4, 3), (2, 3), (11, 3), (2, 3), (4, 3), (4, 3), (2, 3), (4, 3), (4, 3), (4, 3), (5, 4), (11, 3), (11, 10), (4, 10), (5, 4), (11, 3), (11, 3), (11, 3), (4, 3), (5, 4), (4, 10), (5, 4), (4, 3), (5, 4), (4, 10), (4, 10), (5, 4), (4, 10), (4, 10), (4, 10), (4, 3)]"
"(((0, 5), (2, 7)), ((4, 5), (6, 7)))",-1.471076152,-1.504157266,0.00109436,0.000999702,-1.502694211,0.317460317,0.682539683,0.142857143,"[(11, 3), (4, 3), (4, 3), (4, 3), (2, 3), (11, 3), (2, 3), (4, 3), (2, 3), (11, 3), (2, 3), (4, 3), (2, 3), (4, 10), (4, 10), (4, 10), (11, 3), (11, 3), (2, 3), (4, 3), (11, 10), (11, 12), (11, 3), (4, 3), (12, 2), (12, 2), (12, 2), (2, 3), (4, 3), (11, 3), (4, 3), (2, 3), (4, 3), (11, 3), (11, 3), (4, 3), (2, 3), (2, 3), (2, 3), (11, 3)]"
"(((0, 5), (2, 7)), ((0, 1), (2, 3)))",-1.435559828,-1.505276446,0.004860407,0.003757313,-1.496856751,0.294117647,0.705882353,0.142857143,"[(2, 3), (4, 3), (4, 3), (4, 3), (11, 3), (4, 3), (11, 3), (2, 3), (11, 3), (4, 3), (11, 3), (2, 3), (11, 3), (4, 3), (4, 3), (11, 3), (4, 3), (4, 3), (4, 3), (2, 3), (1, 2), (11, 12), (13, 1), (13, 1), (13, 1), (13, 12), (11, 12), (12, 2), (11, 12), (13, 12), (11, 12), (12, 2), (11, 12), (13, 12), (13, 12), (11, 12), (12, 2), (12, 2), (12, 2), (13, 12)]"
"(((0, 5), (2, 7)), ((1, 5), (2, 6)))",-1.465417813,-1.627114566,0.02614584,0.025332841,-1.624580753,0.286666667,0.713333333,0.142857143,"[(7, 8), (6, 8), (6, 8), (6, 8), (9, 8), (7, 8), (9, 8), (6, 8), (9, 8), (7, 8), (9, 8), (6, 8), (9, 8), (7, 8), (7, 8), (9, 8), (7, 8), (7, 8), (7, 8), (6, 8), (9, 10), (9, 8), (9, 8), (9, 8), (5, 9), (9, 10), (9, 10), (9, 10), (9, 10), (9, 8), (5, 9), (9, 8), (9, 10), (9, 8), (5, 9), (9, 8), (9, 10), (9, 10), (9, 8), (5, 9), (5, 9), (5, 9), (9, 10)]"
"(((0, 5), (2, 7)), ((0, 5), (3, 6)))",-1.332203653,-1.49232141,0.025637696,0.033122208,-1.514198729,0.308943089,0.691056911,0.142857143,"[(2, 3), (11, 10), (4, 10), (4, 10), (4, 10), (4, 3), (2, 3), (9, 10), (11, 3), (2, 3), (4, 3), (2, 3), (11, 3), (2, 3), (4, 3), (4, 3), (2, 3), (4, 10), (4, 10), (4, 10), (9, 10), (9, 10), (9, 10), (9, 10), (4, 10), (11, 10), (4, 10), (9, 10), (4, 10), (11, 10), (4, 10), (9, 10), (9, 10), (4, 10), (11, 10), (11, 10), (11, 10), (9, 10)]"
