Operator,Noisy_val_approx,Ideal_val,diff,REM_seq,Diff_REM,2q_gate,1q_gate,2q_gate_tr,1q_gate_tr,cx_gate,cx0_gate,no_T2,total_cnt,sum_cx,sum_cx0,sum_t2,sum_2q_tr,sum_1q_tr
"(((0, 4), (3, 7)), ((1, 5), (2, 6)))",-1.38429185,-1.575204788,0.03644775,-1.556023522,0.029491767,28,20,28,28,16,12,2,48,0.333333333,0.25,0.2,0.5,0.5
"(((0, 4), (3, 7)), ((0, 5), (3, 6)))",-1.354006325,-1.530063707,0.030996202,-1.528213763,0.030348231,28,20,28,28,16,12,2,48,0.333333333,0.25,0.2,0.5,0.5
"(((4, 5), (6, 7)), ((0, 1), (2, 3)))",-1.356245352,-1.416553314,0.00363705,-1.415197522,0.003475358,28,20,28,28,16,12,2,48,0.333333333,0.25,0.2,0.5,0.5
"(((4, 5), (6, 7)), ((1, 5), (2, 6)))",-1.361404389,-1.539377632,0.031674475,-1.556070814,0.037895017,28,20,28,28,16,12,2,48,0.333333333,0.25,0.2,0.5,0.5
"(((4, 5), (6, 7)), ((0, 5), (3, 6)))",-1.341375209,-1.506710315,0.027335697,-1.546243436,0.041970991,28,20,28,28,16,12,2,48,0.333333333,0.25,0.2,0.5,0.5
"(((0, 1), (2, 3)), ((1, 5), (2, 6)))",-1.344948581,-1.539377634,0.037802657,-1.516900492,0.02956746,28,20,28,28,16,12,2,48,0.333333333,0.25,0.2,0.5,0.5
"(((0, 1), (2, 3)), ((0, 5), (3, 6)))",-1.334797087,-1.513082781,0.031785789,-1.512916933,0.03172668,28,20,28,28,16,12,2,48,0.333333333,0.25,0.2,0.5,0.5
"(((1, 5), (2, 6)), ((0, 5), (3, 6)))",-1.255234375,-1.560356219,0.09309934,-1.526590943,0.073634387,28,20,28,28,16,12,2,48,0.333333333,0.25,0.2,0.5,0.5
"(((0, 5), (2, 7)), ((1, 4), (3, 6)), ((1, 5), (3, 7)))",-1.605330281,-1.605330281,0,-1.604900012,1.85131E-07,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((0, 5), (2, 7)), ((1, 4), (3, 6)), ((0, 4), (2, 6)))",-1.604676383,-1.604676383,0,-1.604247863,1.83629E-07,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((0, 5), (2, 7)), ((1, 4), (3, 6)), ((1, 4), (2, 7)))",-1.574226154,-1.574226154,0,-1.573783464,1.95975E-07,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((0, 5), (2, 7)), ((1, 4), (3, 6)), ((0, 4), (3, 7)))",-1.660932076,-1.660932076,0,-1.660513739,1.75005E-07,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((0, 5), (2, 7)), ((1, 4), (3, 6)), ((4, 5), (6, 7)))",-1.549076598,-1.588579438,0.001560474,-1.588049275,0.00151887,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((0, 5), (2, 7)), ((1, 4), (3, 6)), ((0, 1), (2, 3)))",-1.484442704,-1.588579437,0.010844459,-1.58642295,0.01039997,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((0, 5), (2, 7)), ((1, 4), (3, 6)), ((1, 5), (2, 6)))",-1.414812377,-1.693352409,0.077584549,-1.64207134,0.051646636,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((0, 5), (2, 7)), ((1, 4), (3, 6)), ((0, 5), (3, 6)))",-1.371205137,-1.574226152,0.041217533,-1.599717641,0.052217964,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((0, 5), (2, 7)), ((1, 5), (3, 7)), ((0, 4), (2, 6)))",-1.625796757,-1.625796757,0,-1.625397101,1.59725E-07,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((0, 5), (2, 7)), ((1, 5), (3, 7)), ((1, 4), (2, 7)))",-1.58748226,-1.58748226,0,-1.587058724,1.79382E-07,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((0, 5), (2, 7)), ((1, 5), (3, 7)), ((0, 4), (3, 7)))",-1.595906376,-1.595906376,0,-1.595483454,1.78863E-07,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((0, 5), (2, 7)), ((1, 5), (3, 7)), ((4, 5), (6, 7)))",-1.543810997,-1.581544158,0.001423791,-1.581749636,0.00143934,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((0, 5), (2, 7)), ((1, 5), (3, 7)), ((0, 1), (2, 3)))",-1.475773489,-1.582731642,0.011440046,-1.566397941,0.008212791,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((0, 5), (2, 7)), ((1, 5), (3, 7)), ((1, 5), (2, 6)))",-1.466707504,-1.627492486,0.02585181,-1.634691156,0.028218507,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((0, 5), (2, 7)), ((1, 5), (3, 7)), ((0, 5), (3, 6)))",-1.414410354,-1.586608306,0.029652135,-1.59855797,0.033910345,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((0, 5), (2, 7)), ((0, 4), (2, 6)), ((1, 4), (2, 7)))",-1.587164494,-1.587164494,0,-1.586746132,1.75027E-07,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((0, 5), (2, 7)), ((0, 4), (2, 6)), ((0, 4), (3, 7)))",-1.594642792,-1.594642792,0,-1.594219926,1.78815E-07,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((0, 5), (2, 7)), ((0, 4), (2, 6)), ((4, 5), (6, 7)))",-1.541022144,-1.581315187,0.001623529,-1.578231057,0.001384503,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((0, 5), (2, 7)), ((0, 4), (2, 6)), ((0, 1), (2, 3)))",-1.481499447,-1.582531067,0.010207388,-1.561071648,0.006331735,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((0, 5), (2, 7)), ((0, 4), (2, 6)), ((1, 5), (2, 6)))",-1.464856946,-1.627680436,0.026511489,-1.651131917,0.034698365,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
