Operator,Noisy_val_approx,Ideal_val,Seq_REM,diff,diff_rem,two_qc_ratio,single_qc_ratio,param_ratio,cnot_con
"(((1, 6), (3, 8)), ((0, 5), (3, 8)))",-24.70406877,-24.76813685,-24.7668175,0.004104718,0.003937403,0.382113821,0.617886179,0.125,"[(13, 12), (14, 11), (13, 14), (11, 14), (12, 13), (14, 11), (11, 14), (14, 13), (12, 13), (11, 14), (14, 11), (11, 14), (14, 13), (11, 14), (12, 13), (14, 11), (11, 14), (14, 13), (12, 13), (10, 12), (12, 10), (10, 12), (11, 14), (14, 11), (11, 14), (14, 13), (13, 14), (14, 11), (12, 15), (13, 12), (13, 12), (12, 13), (13, 12), (10, 12), (15, 12), (10, 12), (13, 12), (10, 12), (15, 12), (10, 12), (13, 12), (12, 13), (12, 10), (15, 12), (12, 15), (15, 12), (13, 12)]"
"(((1, 6), (3, 8)), ((0, 0), (4, 0)))",-24.75854981,-24.76629757,-24.76509511,6.00279E-05,4.28411E-05,0.333333333,0.666666667,0.125,"[(3, 2), (2, 3), (2, 3), (3, 2), (6, 7), (4, 7), (7, 4), (4, 7), (7, 10), (7, 6), (10, 7), (4, 7), (10, 7), (6, 7), (10, 7), (4, 7), (10, 7), (6, 7), (7, 6), (7, 10), (4, 7), (7, 4), (4, 7), (6, 7)]"
"(((1, 6), (3, 8)), ((5, 0), (9, 0)))",-24.75807306,-24.76629757,-24.7650991,6.76426E-05,4.93653E-05,0.375,0.625,0.125,"[(2, 3), (1, 4), (2, 1), (3, 2), (4, 1), (1, 4), (4, 1), (1, 2), (3, 2), (4, 1), (1, 4), (4, 1), (1, 2), (3, 2), (4, 1), (1, 4), (4, 1), (1, 2), (3, 2), (4, 1), (1, 4), (4, 1), (1, 2), (2, 1), (1, 4), (2, 3), (5, 8), (8, 5), (8, 5), (5, 8)]"
"(((1, 6), (3, 8)), ((1, 0), (4, 0)))",-24.7454525,-24.76630786,-24.76510663,0.000434946,0.000386285,0.36,0.64,0.125,"[(6, 7), (4, 7), (7, 4), (4, 7), (7, 10), (7, 6), (10, 7), (4, 7), (10, 7), (6, 7), (10, 7), (4, 7), (10, 7), (6, 7), (7, 6), (7, 10), (6, 7), (7, 6), (6, 7), (7, 4), (4, 1), (1, 4), (4, 1), (2, 1), (1, 2), (1, 2), (2, 1)]"
"(((1, 6), (3, 8)), ((6, 0), (9, 0)))",-24.75849986,-24.76630786,-24.76510596,6.09649E-05,4.36407E-05,0.375,0.625,0.125,"[(4, 1), (7, 6), (4, 7), (1, 4), (6, 7), (7, 6), (6, 7), (7, 4), (1, 4), (6, 7), (7, 6), (6, 7), (7, 4), (1, 4), (6, 7), (7, 6), (6, 7), (7, 4), (1, 4), (6, 7), (7, 6), (6, 7), (7, 4), (4, 7), (4, 1), (7, 6), (10, 7), (7, 10), (7, 10), (10, 7)]"
"(((0, 5), (4, 9)), ((1, 5), (2, 7)))",-24.75078012,-24.76542212,-24.76436763,0.000214388,0.000184621,0.40625,0.59375,0.125,"[(2, 1), (3, 5), (2, 3), (1, 2), (5, 3), (3, 5), (5, 3), (3, 2), (1, 2), (2, 3), (3, 2), (2, 3), (5, 3), (3, 2), (2, 3), (3, 2), (1, 2), (3, 2), (1, 2), (2, 3), (3, 2), (2, 3), (5, 3), (3, 5), (2, 3), (3, 2), (2, 3), (2, 1), (5, 3), (9, 8), (5, 8), (8, 5), (5, 8), (8, 11), (9, 8), (9, 8), (8, 9), (9, 8), (5, 8), (11, 8), (5, 8), (9, 8), (5, 8), (11, 8), (5, 8), (9, 8), (8, 9), (8, 5), (11, 8), (8, 11), (11, 8), (9, 8)]"
"(((0, 5), (4, 9)), ((1, 6), (4, 9)))",-24.74956469,-24.76592847,-24.764899,0.000267773,0.000235141,0.382113821,0.617886179,0.125,"[(4, 1), (7, 6), (4, 7), (1, 4), (6, 7), (7, 6), (6, 7), (7, 4), (1, 4), (6, 7), (7, 6), (6, 7), (7, 4), (1, 4), (6, 7), (7, 6), (6, 7), (7, 4), (1, 4), (2, 1), (1, 2), (2, 1), (1, 0), (6, 7), (7, 6), (6, 7), (7, 4), (4, 7), (4, 1), (4, 1), (1, 4), (4, 1), (2, 1), (0, 1), (2, 1), (4, 1), (2, 1), (0, 1), (2, 1), (4, 1), (1, 4), (1, 2), (0, 1), (1, 0), (0, 1), (4, 1), (7, 6)]"
"(((0, 5), (4, 9)), ((1, 5), (4, 9)))",-24.74977886,-24.76424146,-24.76322817,0.000209167,0.000180884,0.388429752,0.611570248,0.125,"[(4, 1), (7, 10), (7, 4), (1, 4), (4, 1), (1, 4), (10, 7), (4, 7), (1, 4), (4, 1), (1, 4), (10, 7), (4, 7), (1, 4), (4, 1), (1, 4), (10, 7), (4, 7), (1, 4), (4, 1), (1, 4), (10, 7), (4, 7), (7, 4), (4, 1), (4, 7), (7, 4), (4, 7), (7, 6), (4, 7), (4, 7), (7, 4), (4, 7), (10, 7), (6, 7), (10, 7), (4, 7), (10, 7), (6, 7), (10, 7), (4, 7), (7, 4), (7, 10), (4, 7), (7, 4), (4, 7), (7, 6)]"
"(((0, 5), (4, 9)), ((0, 5), (2, 7)))",-24.75009228,-24.76505439,-24.76399111,0.000223865,0.000193177,0.360655738,0.639344262,0.125,"[(10, 7), (12, 13), (12, 10), (7, 10), (10, 7), (7, 10), (13, 12), (10, 12), (7, 10), (10, 7), (7, 10), (13, 12), (10, 12), (7, 10), (10, 7), (7, 10), (13, 12), (10, 12), (7, 10), (10, 7), (7, 10), (4, 7), (7, 4), (4, 7), (7, 6), (13, 12), (10, 12), (12, 10), (7, 10), (6, 7), (4, 7), (6, 7), (10, 7), (6, 7), (4, 7), (6, 7), (10, 7), (7, 10), (7, 6), (10, 7), (7, 10), (10, 7), (7, 4), (12, 13)]"
"(((0, 5), (4, 9)), ((0, 6), (4, 9)))",-24.7497506,-24.76424146,-24.76319988,0.000209985,0.000180883,0.350364964,0.649635036,0.125,"[(4, 1), (7, 10), (7, 4), (1, 4), (4, 1), (1, 4), (10, 7), (4, 7), (1, 4), (4, 1), (1, 4), (10, 7), (4, 7), (1, 4), (4, 1), (1, 4), (10, 7), (4, 7), (1, 4), (4, 1), (1, 4), (10, 7), (4, 7), (7, 4), (1, 4), (1, 4), (6, 7), (7, 6), (6, 7), (7, 4), (6, 7), (6, 7), (7, 6), (6, 7), (10, 7), (4, 7), (10, 7), (6, 7), (10, 7), (4, 7), (10, 7), (6, 7), (7, 6), (7, 10), (6, 7), (7, 6), (6, 7), (7, 4)]"
"(((0, 5), (4, 9)), ((0, 6), (3, 8)))",-24.74626298,-24.76542211,-24.76428724,0.000367072,0.000324874,0.40625,0.59375,0.125,"[(2, 1), (8, 5), (11, 14), (11, 8), (14, 11), (11, 8), (8, 11), (11, 8), (5, 8), (8, 11), (11, 8), (8, 11), (14, 11), (8, 11), (14, 11), (11, 8), (8, 11), (11, 8), (5, 8), (8, 11), (11, 8), (8, 11), (14, 11), (8, 11), (11, 8), (8, 5), (3, 5), (2, 3), (1, 2), (5, 3), (3, 5), (5, 3), (3, 2), (1, 2), (5, 3), (3, 5), (5, 3), (3, 2), (1, 2), (5, 3), (3, 5), (5, 3), (3, 2), (1, 2), (5, 3), (3, 5), (5, 3), (3, 2), (2, 3), (2, 1), (3, 5), (11, 14)]"
"(((0, 5), (4, 9)), ((1, 6), (2, 7)))",-24.74405949,-24.77520693,-24.77333481,0.000970164,0.000857045,0.37704918,0.62295082,0.125,"[(2, 3), (1, 4), (1, 2), (3, 2), (2, 3), (3, 2), (4, 1), (2, 1), (3, 2), (2, 3), (3, 2), (4, 1), (2, 1), (3, 2), (2, 3), (3, 2), (4, 1), (2, 1), (3, 2), (2, 3), (3, 2), (4, 1), (2, 1), (1, 2), (2, 3), (1, 4), (8, 11), (5, 8), (8, 5), (5, 8), (8, 9), (8, 5), (9, 8), (11, 8), (9, 8), (5, 8), (9, 8), (11, 8), (9, 8), (5, 8), (8, 5), (8, 9), (5, 8), (8, 5), (5, 8), (8, 11)]"
"(((0, 5), (4, 9)), ((0, 6), (2, 7)))",-24.72428245,-24.76542211,-24.76404934,0.001692471,0.001581405,0.370967742,0.629032258,0.125,"[(11, 8), (10, 12), (13, 12), (12, 13), (13, 12), (12, 15), (12, 10), (15, 12), (13, 12), (15, 12), (10, 12), (15, 12), (13, 12), (15, 12), (10, 12), (12, 10), (12, 15), (10, 12), (12, 10), (10, 12), (12, 13), (14, 13), (11, 14), (8, 11), (13, 14), (14, 13), (13, 14), (14, 11), (8, 11), (13, 14), (14, 13), (13, 14), (14, 11), (8, 11), (13, 14), (14, 13), (13, 14), (14, 11), (8, 11), (13, 14), (14, 13), (13, 14), (14, 11), (11, 14), (11, 8), (14, 13)]"
"(((0, 5), (4, 9)), ((1, 5), (3, 8)))",-24.71202309,-24.76542212,-24.76416181,0.002851457,0.002718447,0.362318841,0.637681159,0.125,"[(1, 4), (8, 9), (5, 8), (8, 5), (5, 8), (8, 11), (8, 5), (11, 8), (9, 8), (11, 8), (5, 8), (11, 8), (9, 8), (11, 8), (5, 8), (8, 5), (8, 11), (9, 8), (8, 9), (9, 8), (5, 8), (5, 3), (3, 5), (5, 3), (2, 3), (2, 3), (1, 2), (3, 2), (2, 3), (3, 2), (4, 1), (2, 1), (3, 2), (2, 3), (3, 2), (4, 1), (2, 1), (3, 2), (2, 3), (3, 2), (4, 1), (2, 1), (3, 2), (2, 3), (3, 2), (4, 1), (2, 1), (1, 2), (2, 3), (1, 4)]"
"(((0, 5), (4, 9)), ((0, 5), (3, 8)))",-24.69218383,-24.76505439,-24.76378166,0.005310119,0.00512625,0.360655738,0.639344262,0.125,"[(13, 12), (14, 11), (14, 13), (12, 13), (13, 12), (12, 13), (11, 14), (13, 14), (12, 13), (13, 12), (12, 13), (11, 14), (13, 14), (12, 13), (13, 12), (12, 13), (11, 14), (13, 14), (12, 13), (13, 12), (12, 13), (10, 12), (12, 10), (10, 12), (11, 14), (13, 14), (14, 13), (14, 11), (12, 15), (12, 13), (15, 12), (10, 12), (15, 12), (13, 12), (15, 12), (10, 12), (15, 12), (13, 12), (12, 13), (12, 15), (13, 12), (12, 13), (13, 12), (12, 10)]"
"(((0, 5), (4, 9)), ((0, 0), (4, 0)))",-24.75418665,-24.76202435,-24.7610503,6.14295E-05,4.71097E-05,0.406593407,0.593406593,0.125,"[(5, 3), (8, 11), (5, 8), (3, 5), (11, 8), (8, 11), (11, 8), (8, 5), (3, 5), (5, 8), (8, 5), (5, 8), (3, 5), (5, 3), (3, 5), (11, 8), (5, 8), (3, 5), (5, 3), (3, 5), (5, 8), (3, 5), (5, 3), (3, 5), (5, 8), (11, 8), (8, 11), (8, 5), (3, 5), (5, 3), (11, 8), (8, 11), (11, 8), (8, 5), (5, 3), (5, 3), (3, 5)]"
