Operator,Noisy_val_approx,Ideal_val,Seq_REM,diff,diff_rem,singles ,doubles,singles_ratio,doubles_ratio,two_qc_ratio,single_qc_ratio,param_ratio,cnot_con
"(((4, 5), (6, 7)), ((0, 4), (3, 7)))",-1.756862455,-1.845513975,-1.844002119,0.007859092,0.007593321,0,2,0,0.2,0.392,0.608,0.142857143,"[(7, 4), (6, 7), (7, 6), (6, 7), (7, 10), (7, 6), (10, 7), (4, 7), (10, 7), (6, 7), (10, 7), (4, 7), (10, 7), (6, 7), (7, 6), (7, 10), (4, 7), (7, 4), (4, 7), (4, 1), (6, 7), (12, 10), (10, 12), (12, 10), (7, 10), (4, 7), (1, 4), (10, 7), (7, 10), (10, 7), (7, 4), (1, 4), (10, 7), (7, 10), (10, 7), (7, 4), (1, 4), (10, 7), (7, 10), (10, 7), (7, 4), (1, 4), (10, 7), (7, 10), (10, 7), (7, 4), (4, 7), (4, 1), (7, 10)]"
"(((4, 5), (6, 7)), ((0, 1), (2, 3)))",-1.722400768,-1.833981987,-1.832251469,0.012450368,0.012067176,0,2,0,0.2,0.37704918,0.62295082,0.142857143,"[(7, 4), (6, 7), (7, 6), (6, 7), (8, 9), (7, 10), (7, 6), (10, 7), (4, 7), (10, 7), (6, 7), (10, 7), (4, 7), (10, 7), (6, 7), (7, 6), (7, 10), (6, 7), (7, 6), (6, 7), (7, 4), (11, 14), (11, 8), (9, 8), (8, 9), (9, 8), (14, 11), (8, 11), (9, 8), (8, 9), (9, 8), (14, 11), (8, 11), (9, 8), (8, 9), (9, 8), (14, 11), (8, 11), (9, 8), (8, 9), (9, 8), (14, 11), (8, 11), (11, 8), (8, 9), (11, 14)]"
"(((4, 5), (6, 7)), ((0, 0), (2, 0)))",-1.794507548,-1.832041361,-1.830783744,0.001408787,0.001315962,1,1,0.25,0.1,0.342857143,0.657142857,0.142857143,"[(7, 4), (6, 7), (7, 6), (6, 7), (7, 10), (7, 6), (10, 7), (4, 7), (10, 7), (6, 7), (10, 7), (4, 7), (10, 7), (6, 7), (7, 6), (7, 10), (6, 7), (7, 6), (6, 7), (7, 4), (11, 8), (8, 11), (8, 11), (11, 8)]"
"(((4, 5), (6, 7)), ((1, 0), (3, 0)))",-1.788868562,-1.832041363,-1.830782033,0.001863891,0.001756739,1,1,0.25,0.1,0.342857143,0.657142857,0.142857143,"[(3, 2), (2, 3), (2, 3), (3, 2), (12, 15), (13, 12), (12, 13), (13, 12), (12, 10), (12, 13), (10, 12), (15, 12), (10, 12), (13, 12), (10, 12), (15, 12), (10, 12), (13, 12), (12, 13), (12, 10), (13, 12), (12, 13), (13, 12), (12, 15)]"
"(((4, 5), (6, 7)), ((4, 0), (6, 0)))",-1.795367658,-1.832060243,-1.830813038,0.001346346,0.001256375,1,1,0.25,0.1,0.342857143,0.657142857,0.142857143,"[(12, 15), (13, 12), (12, 13), (13, 12), (12, 10), (12, 13), (10, 12), (15, 12), (10, 12), (13, 12), (10, 12), (15, 12), (10, 12), (13, 12), (12, 13), (12, 10), (15, 12), (12, 15), (15, 12), (13, 12), (10, 12), (12, 10), (12, 10), (10, 12)]"
"(((4, 5), (6, 7)), ((5, 0), (7, 0)))",-1.795230479,-1.832051626,-1.830797714,0.001355797,0.001265028,1,1,0.25,0.1,0.342857143,0.657142857,0.142857143,"[(12, 15), (13, 12), (12, 13), (13, 12), (12, 10), (12, 13), (10, 12), (15, 12), (10, 12), (13, 12), (10, 12), (15, 12), (10, 12), (13, 12), (12, 13), (12, 10), (13, 12), (12, 13), (13, 12), (12, 15), (13, 12), (12, 13), (12, 13), (13, 12)]"
"(((1, 4), (2, 7)), ((0, 4), (3, 7)))",-1.743956402,-1.853796176,-1.850002262,0.012064776,0.011245724,0,2,0,0.2,0.382113821,0.617886179,0.142857143,"[(12, 10), (13, 12), (12, 13), (13, 12), (12, 15), (12, 13), (15, 12), (10, 12), (15, 12), (13, 12), (15, 12), (10, 12), (15, 12), (13, 12), (12, 15), (13, 12), (12, 13), (12, 10), (7, 10), (10, 7), (7, 10), (12, 10), (13, 14), (13, 12), (10, 12), (12, 10), (10, 12), (14, 13), (12, 13), (10, 12), (12, 10), (10, 12), (14, 13), (12, 13), (10, 12), (12, 10), (10, 12), (14, 13), (12, 13), (10, 12), (12, 10), (10, 12), (14, 13), (12, 13), (13, 12), (12, 10), (13, 14)]"
"(((1, 4), (2, 7)), ((0, 1), (2, 3)))",-1.714427871,-1.843204417,-1.840914235,0.016583399,0.0159988,0,2,0,0.2,0.373239437,0.626760563,0.142857143,"[(7, 10), (6, 7), (7, 6), (6, 7), (7, 4), (7, 6), (4, 7), (10, 7), (4, 7), (6, 7), (4, 7), (10, 7), (4, 7), (6, 7), (7, 6), (4, 7), (4, 7), (7, 10), (10, 7), (7, 10), (6, 7), (12, 10), (7, 10), (10, 7), (7, 10), (10, 12), (12, 10), (10, 12), (12, 13), (10, 12), (7, 10), (13, 12), (12, 13), (13, 12), (12, 10), (7, 10), (13, 12), (12, 13), (13, 12), (12, 10), (7, 10), (13, 12), (12, 13), (13, 12), (12, 10), (7, 10), (13, 12), (12, 13), (13, 12), (12, 10), (10, 12), (10, 7), (12, 13)]"
"(((1, 4), (2, 7)), ((0, 0), (2, 0)))",-1.788138053,-1.839557197,-1.838251014,0.002643928,0.002511309,1,1,0.25,0.1,0.333333333,0.666666667,0.142857143,"[(6, 7), (4, 7), (7, 4), (4, 7), (7, 10), (7, 6), (10, 7), (4, 7), (10, 7), (6, 7), (10, 7), (4, 7), (10, 7), (6, 7), (7, 6), (7, 10), (4, 7), (7, 4), (4, 7), (6, 7), (10, 12), (12, 10), (12, 10), (10, 12)]"
"(((1, 4), (2, 7)), ((1, 0), (3, 0)))",-1.785384689,-1.839543432,-1.839070353,0.002933169,0.002882151,1,1,0.25,0.1,0.333333333,0.666666667,0.142857143,"[(4, 7), (10, 7), (7, 10), (10, 7), (7, 6), (7, 4), (6, 7), (10, 7), (6, 7), (4, 7), (6, 7), (10, 7), (6, 7), (4, 7), (7, 4), (7, 6), (4, 7), (7, 4), (4, 7), (7, 10), (12, 10), (10, 12), (10, 12), (12, 10)]"
"(((1, 4), (2, 7)), ((4, 0), (6, 0)))",-1.788426185,-1.839833804,-1.838491176,0.002642743,0.002506503,1,1,0.25,0.1,0.333333333,0.666666667,0.142857143,"[(10, 12), (13, 12), (12, 13), (13, 12), (12, 15), (12, 10), (15, 12), (13, 12), (15, 12), (10, 12), (15, 12), (13, 12), (15, 12), (10, 12), (12, 10), (12, 15), (13, 12), (12, 13), (13, 12), (10, 12), (7, 10), (10, 7), (10, 7), (7, 10)]"
"(((1, 4), (2, 7)), ((5, 0), (7, 0)))",-1.787586938,-1.83973868,-1.83821661,0.002719804,0.002563364,1,1,0.25,0.1,0.333333333,0.666666667,0.142857143,"[(6, 7), (4, 7), (7, 4), (4, 7), (7, 10), (7, 6), (10, 7), (4, 7), (10, 7), (6, 7), (10, 7), (4, 7), (10, 7), (6, 7), (7, 6), (7, 10), (4, 7), (7, 4), (4, 7), (4, 1), (1, 4), (1, 4), (4, 1), (6, 7)]"
"(((0, 4), (3, 7)), ((0, 1), (2, 3)))",-1.718832962,-1.845513972,-1.842330987,0.016048078,0.015251762,0,2,0,0.2,0.385826772,0.614173228,0.142857143,"[(4, 1), (0, 1), (1, 0), (0, 1), (1, 2), (1, 4), (2, 1), (0, 1), (2, 1), (4, 1), (2, 1), (0, 1), (2, 1), (4, 1), (1, 4), (1, 2), (0, 1), (1, 0), (0, 1), (2, 3), (3, 2), (2, 3), (4, 1), (2, 1), (3, 5), (3, 2), (1, 2), (2, 1), (1, 2), (5, 3), (2, 3), (1, 2), (2, 1), (1, 2), (5, 3), (2, 3), (1, 2), (2, 1), (1, 2), (5, 3), (2, 3), (1, 2), (2, 1), (1, 2), (5, 3), (2, 3), (3, 2), (2, 1), (3, 5)]"
"(((0, 4), (3, 7)), ((0, 0), (2, 0)))",-1.778469324,-1.842518642,-1.840213212,0.004102315,0.003812308,1,1,0.25,0.1,0.394736842,0.605263158,0.142857143,"[(2, 3), (1, 4), (1, 2), (4, 1), (1, 2), (2, 1), (1, 2), (3, 2), (2, 1), (1, 2), (2, 1), (4, 1), (2, 1), (4, 1), (1, 2), (2, 1), (1, 2), (3, 2), (2, 1), (1, 2), (2, 1), (4, 1), (2, 1), (1, 2), (2, 3), (1, 4), (5, 3), (3, 5), (3, 5), (5, 3)]"
"(((0, 4), (3, 7)), ((1, 0), (3, 0)))",-1.774988411,-1.842509779,-1.840211358,0.004559135,0.004254033,1,1,0.25,0.1,0.333333333,0.666666667,0.142857143,"[(6, 7), (10, 7), (7, 10), (10, 7), (7, 4), (7, 6), (4, 7), (10, 7), (4, 7), (6, 7), (4, 7), (10, 7), (4, 7), (6, 7), (7, 6), (7, 4), (4, 1), (1, 4), (1, 4), (4, 1), (10, 7), (7, 10), (10, 7), (6, 7)]"
"(((0, 4), (3, 7)), ((4, 0), (6, 0)))",-1.778499149,-1.842518653,-1.840212839,0.004098497,0.00380858,1,1,0.25,0.1,0.342857143,0.657142857,0.142857143,"[(1, 2), (4, 1), (1, 4), (4, 1), (1, 0), (1, 4), (0, 1), (2, 1), (0, 1), (4, 1), (0, 1), (2, 1), (0, 1), (4, 1), (1, 4), (1, 0), (2, 1), (1, 2), (2, 1), (4, 1), (7, 4), (4, 7), (4, 7), (7, 4)]"
"(((0, 4), (3, 7)), ((5, 0), (7, 0)))",-1.778855552,-1.842509779,-1.840215822,0.004051861,0.003765083,1,1,0.25,0.1,0.323529412,0.676470588,0.142857143,"[(12, 10), (13, 12), (12, 13), (13, 12), (12, 15), (12, 13), (15, 12), (10, 12), (15, 12), (13, 12), (15, 12), (10, 12), (15, 12), (13, 12), (12, 15), (13, 12), (12, 13), (12, 10), (13, 14), (14, 13), (14, 13), (13, 14)]"
"(((0, 1), (2, 3)), ((0, 0), (2, 0)))",-1.755253036,-1.832060242,-1.830660017,0.005899347,0.005686213,1,1,0.25,0.1,0.406593407,0.593406593,0.142857143,"[(5, 3), (8, 11), (8, 5), (3, 5), (5, 3), (3, 5), (11, 8), (5, 8), (11, 8), (8, 5), (5, 8), (8, 5), (3, 5), (11, 8), (8, 11), (11, 8), (8, 5), (11, 8), (8, 11), (11, 8), (8, 5), (11, 8), (8, 11), (11, 8), (8, 5), (3, 5), (5, 3), (5, 8), (3, 5), (5, 3), (3, 5), (11, 8), (8, 11), (5, 8), (8, 11), (8, 11), (11, 8)]"
"(((0, 1), (2, 3)), ((1, 0), (3, 0)))",-1.753020152,-1.832051632,-1.83064729,0.006245975,0.006025973,1,1,0.25,0.1,0.342857143,0.657142857,0.142857143,"[(1, 4), (2, 1), (1, 2), (2, 1), (1, 0), (1, 2), (0, 1), (4, 1), (0, 1), (2, 1), (0, 1), (4, 1), (0, 1), (2, 1), (1, 2), (1, 0), (2, 1), (1, 2), (2, 1), (1, 4), (2, 1), (1, 2), (1, 2), (2, 1)]"
"(((0, 1), (2, 3)), ((4, 0), (6, 0)))",-1.756391148,-1.832041361,-1.830614605,0.005722955,0.005509122,1,1,0.25,0.1,0.375,0.625,0.142857143,"[(1, 4), (4, 1), (4, 1), (1, 4), (10, 7), (12, 13), (12, 10), (7, 10), (10, 7), (7, 10), (13, 12), (10, 12), (7, 10), (10, 7), (7, 10), (13, 12), (10, 12), (7, 10), (10, 7), (7, 10), (13, 12), (10, 12), (7, 10), (10, 7), (7, 10), (13, 12), (10, 12), (12, 10), (10, 7), (12, 13)]"
